"filename", "language", "JavaScript", "CSS", "XML", "vue", "JSON", "HTML", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/LibraryQuestion.vue", "vue", 0, 0, 0, 391, 0, 0, 0, 0, 1, 44, 436
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/NextRoomsComponent.vue", "vue", 0, 0, 0, 77, 0, 0, 0, 0, 0, 5, 82
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/RoomButton.vue", "vue", 0, 0, 0, 85, 0, 0, 0, 0, 0, 10, 95
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/ExpProgressBar.vue", "vue", 0, 0, 0, 135, 0, 0, 0, 0, 0, 14, 149
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/KnowledgeGraph.vue", "vue", 0, 0, 0, 650, 0, 0, 0, 0, 0, 84, 734
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/LearningPath.vue", "vue", 0, 0, 0, 465, 0, 0, 0, 0, 9, 71, 545
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/LearningPath1.vue", "vue", 0, 0, 0, 103, 0, 0, 0, 0, 7, 11, 121
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/LearningPath2.vue", "vue", 0, 0, 0, 181, 0, 0, 0, 0, 9, 17, 207
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/PieChart.vue", "vue", 0, 0, 0, 64, 0, 0, 0, 0, 1, 5, 70
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/ProgressGraph.vue", "vue", 0, 0, 0, 74, 0, 0, 0, 0, 1, 4, 79
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/StreakFire.vue", "vue", 0, 0, 0, 202, 0, 0, 0, 0, 0, 18, 220
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/UserStats.vue", "vue", 0, 0, 0, 52, 0, 0, 0, 0, 0, 8, 60
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Header/SideMenu.vue", "vue", 0, 0, 0, 110, 0, 0, 0, 0, 47, 14, 171
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Header/SubHeader.vue", "vue", 0, 0, 0, 80, 0, 0, 0, 0, 1, 8, 89
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Header/TopBar.vue", "vue", 0, 0, 0, 128, 0, 0, 0, 0, 8, 16, 152
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Menus/ActionMenuButton.vue", "vue", 0, 0, 0, 46, 0, 0, 0, 0, 0, 6, 52
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Menus/InfoPopup.vue", "vue", 0, 0, 0, 116, 0, 0, 0, 0, 0, 17, 133
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Menus/MenuButton.vue", "vue", 0, 0, 0, 45, 0, 0, 0, 0, 0, 6, 51
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Menus/SideMenuButton.vue", "vue", 0, 0, 0, 56, 0, 0, 0, 0, 0, 9, 65
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Menus/TierButton.vue", "vue", 0, 0, 0, 70, 0, 0, 0, 0, 1, 10, 81
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Monetization/AdPopup.vue", "vue", 0, 0, 0, 237, 0, 0, 0, 0, 1, 30, 268
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Monetization/PlanPage.vue", "vue", 0, 0, 0, 229, 0, 0, 0, 0, 1, 18, 248
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/eventBus.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/main.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 0, 59, 25, 212
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/scripts/placeholderTyping.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/adminStore.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 1, 2, 30
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/adsStore.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 2, 23
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/authStore.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 6, 2, 59
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/gameStore.js", "JavaScript", 262, 0, 0, 0, 0, 0, 0, 0, 21, 13, 296
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/inputStore.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 3, 2, 25
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/libGenStore.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 1, 2, 88
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/loadingStore.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/mentorStore.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 2, 4, 70
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/menuStore.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 1, 7, 93
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/messageStore.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 0, 4, 15, 132
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/popupStore.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 3, 1, 29
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/scrollStore.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/themeStore.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 2, 3, 22
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/userStatsStore.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 2, 2, 38
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/vue.config.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"Total", "-", 1025, 197, 37, 10699, 13703, 47, 19, 19, 614, 1307, 27667
