Date : 2025-03-14 23:17:35
Directory : /Users/willgunter/projects/Gamefied-Study-Tool/frontend
Total : 94 files,  25746 codes, 614 comments, 1307 blanks, all 27667 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Footer/TermsAndPoliciesPage.vue                    | vue                |        265 |          3 |         22 |        290 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/Creation/CyclingContentButton.vue             | vue                |        136 |          2 |         12 |        150 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/Creation/LibraryBrowser.vue                   | vue                |         84 |          0 |          5 |         89 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/Creation/LibraryButton.vue                    | vue                |         80 |          0 |         12 |         92 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/Creation/LibraryCarousel.vue                  | vue                |        363 |          7 |         40 |        410 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/Creation/LibraryCreator.vue                   | vue                |        516 |          6 |         56 |        578 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/LeaderBoard.vue                               | vue                |        242 |          0 |         21 |        263 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/FactoidComponent.vue                  | vue                |         79 |          1 |          8 |         88 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/GamePage.vue                          | vue                |         34 |          0 |          9 |         43 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/GameStart.vue                         | vue                |          0 |        199 |          1 |        200 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/GameToolbar.vue                       | vue                |        147 |         21 |         20 |        188 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/GameWindow.vue                        | vue                |         56 |          1 |         11 |         68 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/LibraryCompletion.vue                 | vue                |        429 |          9 |         37 |        475 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/LibraryQuestion.vue                   | vue                |        391 |          1 |         44 |        436 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/NextRoomsComponent.vue                | vue                |         77 |          0 |          5 |         82 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/RoomButton.vue                        | vue                |         85 |          0 |         10 |         95 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/ExpProgressBar.vue                          | vue                |        135 |          0 |         14 |        149 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/KnowledgeGraph.vue                          | vue                |        650 |          0 |         84 |        734 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/LearningPath.vue                            | vue                |        465 |          9 |         71 |        545 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/LearningPath1.vue                           | vue                |        103 |          7 |         11 |        121 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/LearningPath2.vue                           | vue                |        181 |          9 |         17 |        207 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/PieChart.vue                                | vue                |         64 |          1 |          5 |         70 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/ProgressGraph.vue                           | vue                |         74 |          1 |          4 |         79 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/StreakFire.vue                              | vue                |        202 |          0 |         18 |        220 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Graphs/UserStats.vue                               | vue                |         52 |          0 |          8 |         60 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Header/SideMenu.vue                                | vue                |        110 |         47 |         14 |        171 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Header/SubHeader.vue                               | vue                |         80 |          1 |          8 |         89 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Header/TopBar.vue                                  | vue                |        128 |          8 |         16 |        152 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Menus/ActionMenuButton.vue                         | vue                |         46 |          0 |          6 |         52 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Menus/InfoPopup.vue                                | vue                |        116 |          0 |         17 |        133 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Menus/MenuButton.vue                               | vue                |         45 |          0 |          6 |         51 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Menus/SideMenuButton.vue                           | vue                |         56 |          0 |          9 |         65 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Menus/TierButton.vue                               | vue                |         70 |          1 |         10 |         81 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Monetization/AdPopup.vue                           | vue                |        237 |          1 |         30 |        268 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Monetization/PlanPage.vue                          | vue                |        229 |          1 |         18 |        248 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/eventBus.js                                                   | JavaScript         |         13 |          0 |          3 |         16 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/main.js                                                       | JavaScript         |        128 |         59 |         25 |        212 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/scripts/placeholderTyping.js                                  | JavaScript         |         36 |          0 |         10 |         46 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/adminStore.js                                           | JavaScript         |         27 |          1 |          2 |         30 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/adsStore.js                                             | JavaScript         |         20 |          1 |          2 |         23 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/authStore.js                                            | JavaScript         |         51 |          6 |          2 |         59 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/gameStore.js                                            | JavaScript         |        262 |         21 |         13 |        296 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/inputStore.js                                           | JavaScript         |         20 |          3 |          2 |         25 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/libGenStore.js                                          | JavaScript         |         85 |          1 |          2 |         88 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/loadingStore.js                                         | JavaScript         |          8 |          1 |          1 |         10 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/mentorStore.js                                          | JavaScript         |         64 |          2 |          4 |         70 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/menuStore.js                                            | JavaScript         |         85 |          1 |          7 |         93 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/messageStore.js                                         | JavaScript         |        113 |          4 |         15 |        132 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/popupStore.js                                           | JavaScript         |         25 |          3 |          1 |         29 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/scrollStore.js                                          | JavaScript         |          6 |          1 |          2 |          9 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/themeStore.js                                           | JavaScript         |         17 |          2 |          3 |         22 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/store/userStatsStore.js                                       | JavaScript         |         34 |          2 |          2 |         38 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/tailwind.config.js                                                | JavaScript         |          7 |          1 |          2 |         10 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/vue.config.js                                                     | JavaScript         |         15 |          0 |          2 |         17 |
| Total                                                                                                                     |                    |     25,746 |        614 |      1,307 |     27,667 |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
